carat;cut;color;clarity;depth;table;EUR;x;y;z;Verfügbar
0,52;Good;H;VS2;63,5;58; 1165;5,11;5,12;3,25;TRUE
0,71;Ideal;E;VS1;61,5;55; 3389;5,78;5,75;3,55;TRUE
0,50;Very Good;F;VS1;62,3;55; 1546;5,06;5,09;3,16;TRUE
0,54;Ideal;E;VS1;61,0;56; 1845;5,35;5,24;3,23;FALSE
0,90;Premium;D;SI1;61,2;60; 3892;6,19;6,14;3,77;TRUE
1,21;Good;J;SI2;63,7;55; 3860;6,81;6,75;4,32;TRUE
1,71;Ideal;G;VVS2;62,1;55;16819;7,63;7,66;4,75;TRUE
0,71;Premium;F;SI2;59,6;59; 2178;5,79;5,75;3,44;FALSE
0,72;Ideal;I;VS2;61,7;56; 2396;5,75;5,80;3,56;TRUE
0,31;Ideal;F;VS2;61,6;55;  565;4,36;4,37;2,69;TRUE
0,40;Premium;E;SI1;61,0;59;  797;4,74;4,71;2,88;TRUE
1,01;Good;E;SI1;56,9;61; 4456;6,65;6,60;3,77;TRUE
0,34;Fair;J;SI1;64,5;57;  449;4,38;4,36;2,82;TRUE
1,53;Premium;J;VVS1;61,6;59; 8640;7,39;7,35;4,54;FALSE
0,72;Ideal;E;SI1;61,0;56; 2691;5,82;5,85;3,56;FALSE
0,50;Premium;E;SI1;63,0;59; 1279;5,01;4,99;3,15;TRUE
0,34;Premium;G;IF;60,5;58;  849;4,52;4,47;2,72;FALSE
0,30;Very Good;G;VS2;63,1;56;  610;4,28;4,25;2,69;TRUE
1,32;Ideal;G;VS1;62,6;56; 9024;7,05;7,00;4,40;FALSE
0,90;Very Good;E;VS2;62,5;58; 4797;6,14;6,18;3,85;FALSE
1,01;Premium;E;SI1;62,8;59; 5063;6,31;6,27;3,95;TRUE
0,56;Premium;G;SI2;59,6;58;  997;5,42;5,35;3,21;TRUE
1,32;Very Good;J;SI1;63,5;57; 4211;6,98;6,95;4,42;TRUE
1,03;Premium;I;SI1;61,0;58; 3651;6,52;6,47;3,96;FALSE
0,30;Good;H;VS1;63,9;55;  475;4,26;4,28;2,73;TRUE
